Time	Heart Rate
14:17:42	80
14:17:52	81
14:17:57	82
14:18:02	80
14:18:09	80
14:18:24	80
14:18:29	79
14:18:34	78
14:18:49	77
14:19:04	77
14:19:19	78
14:19:34	79
14:19:49	79
14:19:59	80
14:20:04	81
14:20:09	81
14:20:14	80
14:20:19	78
14:20:29	77
14:20:34	76
14:20:49	77
14:21:04	77
14:21:14	76
14:21:24	77
14:21:39	77
14:21:54	78
14:21:59	80
14:22:04	83
14:22:09	83
14:22:14	85
14:22:19	87
14:22:26	87
14:22:41	86
14:22:51	85
14:22:56	86
14:23:01	87
14:23:06	90
14:23:11	91
14:23:26	93
14:23:31	95
14:23:36	97
14:23:46	98
14:23:56	94
14:24:11	94
14:24:16	94
14:24:21	93
14:24:26	90
14:24:41	86
14:24:46	83
14:24:51	83
14:24:56	82
14:25:11	82
14:25:16	81
14:25:21	82
14:25:26	83
14:25:31	84
14:25:36	85
14:25:41	83
14:25:48	83
14:25:53	82
14:25:58	83
14:26:03	87
14:26:08	89
14:26:13	90
14:26:18	92
14:26:23	93
14:26:28	89
14:26:43	89
14:26:58	89
14:27:13	89
14:27:18	88
14:27:33	88
14:27:48	88
14:28:03	88
14:28:18	88
14:28:23	89
14:28:28	94
14:28:33	95
14:28:38	96
14:28:53	96
14:29:08	98
14:29:13	100
14:29:18	101
14:29:28	103
14:29:33	98
14:29:40	94
14:29:45	93
14:29:50	94
14:30:00	95
14:30:05	94
14:30:20	93
14:30:25	94
14:30:40	94
14:30:50	95
14:31:00	96
14:31:05	92
14:31:10	93
14:31:15	96
14:31:20	96
14:31:25	97
14:31:35	93
14:31:45	92
14:31:50	95
14:32:00	93
14:32:05	92
14:32:10	91
14:32:20	90
14:32:35	91
14:32:40	92
14:32:50	93
14:32:55	94
14:33:05	96
14:33:12	95
14:33:17	94
14:33:22	95
14:33:32	94
14:33:47	94
14:33:52	93
14:34:07	93
14:34:12	92
14:34:17	93
14:34:22	94
14:34:27	96
14:34:32	99
14:34:42	101
14:34:47	104
14:35:02	104
14:35:12	105
14:35:17	101
14:35:22	101
14:35:32	103
14:35:37	102
14:35:47	101
14:35:52	99
14:36:02	100
14:36:12	101
14:36:17	100
14:36:22	101
14:36:27	97
14:36:33	99
14:36:38	97
14:36:53	96
14:36:58	95
14:37:03	94
14:37:08	90
14:37:13	90
14:37:23	91
14:37:38	90
14:37:43	91
14:37:53	92
14:38:03	91
14:38:18	90
14:38:33	88
14:38:48	87
14:38:53	86
14:38:58	85
14:39:03	87
14:39:08	89
14:39:13	83
14:39:18	81
14:39:23	81
14:39:28	77
14:39:33	76
14:39:38	75
14:39:53	75
14:39:58	76
14:40:05	77
14:40:10	75
14:40:15	75
14:40:20	75
14:40:25	72
14:40:30	74
14:40:40	74
14:40:50	75
14:40:55	73
14:41:00	70
14:41:05	71
14:41:15	73
14:41:25	75
14:41:30	72
14:41:35	75
14:41:40	74
14:41:45	74
14:41:50	71
14:41:55	76
14:42:00	71
14:42:05	71
14:42:15	73
